_id,title,publisher,writers,price,page,image,isbn
64bd8a34429d7849d7d3647b,Endüstriyel Bakım\nKestirimci ve Önleyici Bakımın Temelleri ve Ustaların Pratik Metotları,BİRSEN YAYINEVİ,Bora Kirazlılar,"364,00",714,https://img.kitapyurdu.com/v1/getImage/fn:1118574/wh:true/wi:800,9789755114637
64bd8a37429d7849d7d3647c,Albert Einstein Zekanın Sınırı\nBir Dahinin Buluşları ve Sıradışı Yaşam Öyküsü,İKİLEM YAYINEVİ,Kolektif,"17,55",144,https://img.kitapyurdu.com/v1/getImage/fn:10722614/wh:true/wi:800,9786056895340
64bd8a3a429d7849d7d3647d,Herkes İçin Evrim\nDarwin'in Teorisi Hayata Bakış Açımızı Nasıl Değiştirir?,METİS YAYINLARI,David Sloan Wilson,"139,57",392,https://img.kitapyurdu.com/v1/getImage/fn:177405/wh:true/wi:800,9789753428101
64bd8a3c429d7849d7d3647e,Sinyaller ve Sistemler\nDönüşüm Yöntemleri ve Matlab Kullanarak Çözümleme,NOBEL AKADEMİK YAYINCILIK,M. J. Roberts,"295,75",816,https://img.kitapyurdu.com/v1/getImage/fn:11218186/wh:true/wi:800,9786051333236
64bd8a3f429d7849d7d3647f,Temel Matematik,EKİN KİTABEVİ YAYINLARI,İrfan Ertuğrul,"240,00",610,https://img.kitapyurdu.com/v1/getImage/fn:1118907/wh:true/wi:800,9786053275343
64bd8a42429d7849d7d36480,Kuantum Mekaniği,ALFA YAYINLARI,Kolektif,"152,10",656,https://img.kitapyurdu.com/v1/getImage/fn:11464910/wh:true/wi:800,9786254492068
64bd8a45429d7849d7d36481,Teori ve Uygulamada Makina Öğrenmesi,NOBEL AKADEMİK YAYINCILIK,Kolektif,"126,00",302,https://img.kitapyurdu.com/v1/getImage/fn:11699207/wh:true/wi:800,9786254274817
64bd8a48429d7849d7d36482,Nerede Hata Yaptık?\nDoğu'da Bilimin Gerileyişinin Harici ve Dahili Nedenleri Üzerine Bir Tartışma,LOTUS YAYINEVİ,Remzi Demir,"54,60",100,https://img.kitapyurdu.com/v1/getImage/fn:1127242/wh:true/wi:800,9789756665923
64bd8a4b429d7849d7d36483,Kuantum ve Tango,İKİLEM YAYINEVİ,Dr. Onur Kahveci,"16,00",192,https://img.kitapyurdu.com/v1/getImage/fn:10525731/wh:true/wi:800,9786056985805
64bd8a4e429d7849d7d36484,Boyutlar Eukleides'den Günümüze Felsefe ve Bilim Dünyasından,KAKNÜS YAYINLARI,Dr. Toygar Akman,"41,25",192,https://img.kitapyurdu.com/v1/getImage/fn:105914/wh:true/wi:800,9789756698624
64bd8a51429d7849d7d36485,Charles Darwin\nOlağanüstü Bir Adamın Öyküsü,DORUK YAYINLARI,Tim M. Berra,"66,00",160,https://img.kitapyurdu.com/v1/getImage/fn:198894/wh:true/wi:800,9789755535463
64bd8a54429d7849d7d36486,Kutsal Makine Beyin,SINIRÖTESİ YAYINLARI,Dr. Güçlü Ildız,"85,94",195,https://img.kitapyurdu.com/v1/getImage/fn:964613/wh:true/wi:800,9789758312788
64bd8a57429d7849d7d36487,Etkili Uygulama İçin Sosyal Hizmet Araştırması,NİKA YAYINEVİ,"Jerry Finn, Judy L. Krysik","160,00",528,https://img.kitapyurdu.com/v1/getImage/fn:1011155/wh:true/wi:800,9786058477612
